detector,strategy,bpp,auc,accuracy,f1
resnet50,baseline,original,0.9999941568841051,0.9992439516129032,0.9992445227902291
resnet50,baseline,0.1,0.889616,0.798,0.8206039076376554
resnet50,baseline,0.3,0.9329919999999999,0.836,0.831275720164609
resnet50,baseline,0.5,0.9464159999999999,0.854,0.8482328482328483
resnet50,baseline,0.8,0.957408,0.87,0.8625792811839323
resnet50,baseline,1.0,0.95752,0.872,0.8649789029535865
resnet50,baseline,2.0,0.954258064516129,0.8634538152610441,0.8565400843881856
efficientnet_b4,baseline,original,0.9999832327978668,0.9977318548387096,0.9977358490566037
efficientnet_b4,baseline,0.1,0.851832,0.746,0.7434343434343434
efficientnet_b4,baseline,0.3,0.838544,0.734,0.73767258382643
efficientnet_b4,baseline,0.5,0.84312,0.748,0.7519685039370079
efficientnet_b4,baseline,0.8,0.844184,0.778,0.7885714285714286
efficientnet_b4,baseline,1.0,0.843096,0.762,0.7707129094412332
efficientnet_b4,baseline,2.0,0.8436854838709676,0.7530120481927711,0.7630057803468208
